"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 17 00:23:01 EST 2023","Tue Jan 17 00:23:04 EST 2023","2736","test","test_login_test","TestLogin","","","test_user_can_click_performance_page",""
"passed","Tue Jan 17 00:23:04 EST 2023","Tue Jan 17 00:23:05 EST 2023","1213","test","test_login_test","TestLogin","","","test_verify_logout_successfully",""
"passed","Tue Jan 17 00:20:58 EST 2023","Tue Jan 17 00:21:47 EST 2023","49085","test","selenium_test","","","","test_login_successfully",""
"passed","Tue Jan 17 00:22:09 EST 2023","Tue Jan 17 00:22:27 EST 2023","18303","test","selenium_test","","","","test_closebrowser",""
"passed","Tue Jan 17 00:21:47 EST 2023","Tue Jan 17 00:21:59 EST 2023","12475","test","selenium_test","","","","test_logout_successfully",""
"passed","Tue Jan 17 00:21:59 EST 2023","Tue Jan 17 00:22:09 EST 2023","9743","test","selenium_test","","","","test_user_should_not_login_with_invalid_credential",""
"passed","Tue Jan 17 00:22:57 EST 2023","Tue Jan 17 00:22:59 EST 2023","2220","test","test_login_test","TestLogin","","","test_user_can_click_admin_page",""
"passed","Tue Jan 17 00:22:59 EST 2023","Tue Jan 17 00:23:01 EST 2023","2531","test","test_login_test","TestLogin","","","test_user_can_click_leave_page",""
"passed","Tue Jan 17 00:22:38 EST 2023","Tue Jan 17 00:22:40 EST 2023","1914","test","test_login","TestLogin","","","test_login_successfully",""
"passed","Tue Jan 17 00:20:50 EST 2023","Tue Jan 17 00:20:58 EST 2023","8242","test","selenium_test","","","","test_setup",""
"passed","Tue Jan 17 00:22:40 EST 2023","Tue Jan 17 00:22:43 EST 2023","2996","test","test_login","TestLogin","","","test_logout_successfully",""
"passed","Tue Jan 17 00:23:05 EST 2023","Tue Jan 17 00:23:07 EST 2023","1466","test","test_login_test","TestLogin","","","test_user_should_not_login_with_invalid_credential",""
"passed","Tue Jan 17 00:22:43 EST 2023","Tue Jan 17 00:22:45 EST 2023","1573","test","test_login","TestLogin","","","test_user_should_not_login_with_invalid_credential",""
"passed","Tue Jan 17 00:22:51 EST 2023","Tue Jan 17 00:22:53 EST 2023","1857","test","test_login_test","TestLogin","","","test_logout_successfully",""
"passed","Tue Jan 17 00:22:53 EST 2023","Tue Jan 17 00:22:57 EST 2023","3395","test","test_login_test","TestLogin","","","test_user_can_click_myinfo_page",""
